Particle_ID,X_Coord,Y_Coord,Z_Coord
1,2.94765e+04,2.94550e+04,1.00585e+03
2,2.94765e+04,2.90990e+04,1.00746e+03
3,2.94765e+04,2.92303e+04,1.00711e+03
4,2.94765e+04,2.91963e+04,1.00801e+03
5,2.94765e+04,2.93006e+04,1.00875e+03
6,2.94765e+04,2.92650e+04,1.00853e+03
7,2.94765e+04,2.93678e+04,1.00615e+03
8,2.94765e+04,2.93348e+04,1.00738e+03
9,2.94765e+04,2.94323e+04,1.01123e+03
10,2.94765e+04,2.94019e+04,1.00704e+03
11,2.94765e+04,2.91285e+04,1.01155e+03
12,2.94765e+04,2.90739e+04,1.00561e+03
13,2.94765e+04,2.91603e+04,1.00623e+03
14,2.94765e+04,2.94598e+04,1.09802e+02
15,2.94765e+04,2.94587e+04,1.26763e+02
16,2.94765e+04,2.94615e+04,7.84376e+01
17,2.94765e+04,2.94610e+04,8.62949e+01
18,2.94765e+04,2.94615e+04,6.35545e+01
19,2.94765e+04,2.94616e+04,6.74073e+01
20,2.94765e+04,2.94571e+04,9.41629e+02
21,2.94765e+04,2.94565e+04,9.78081e+02
22,2.94765e+04,2.94562e+04,8.68589e+02
23,2.94765e+04,2.94564e+04,9.05298e+02
24,2.94765e+04,2.94563e+04,7.94680e+02
25,2.94765e+04,2.94563e+04,8.31642e+02
26,2.94765e+04,2.94563e+04,7.20718e+02
27,2.94765e+04,2.94563e+04,7.57712e+02
28,2.94765e+04,2.94563e+04,6.46651e+02
29,2.94765e+04,2.94563e+04,6.83692e+02
30,2.94765e+04,2.94564e+04,5.72436e+02
31,2.94765e+04,2.94563e+04,6.09567e+02
32,2.94765e+04,2.94564e+04,4.98008e+02
33,2.94765e+04,2.94564e+04,5.35257e+02
34,2.94765e+04,2.94565e+04,4.23252e+02
35,2.94765e+04,2.94565e+04,4.60667e+02
36,2.94765e+04,2.94565e+04,3.48282e+02
37,2.94765e+04,2.94565e+04,3.85764e+02
38,2.94765e+04,2.94564e+04,2.74128e+02
39,2.94765e+04,2.94566e+04,3.10977e+02
40,2.94765e+04,2.94561e+04,2.04605e+02
41,2.94765e+04,2.94562e+04,2.38338e+02
42,2.94765e+04,2.94575e+04,1.48252e+02
43,2.94765e+04,2.94564e+04,1.74113e+02
